CC.Course_Number,CC.Section_Number,CC.TermID,CC.Expression,CC.StudentID
983,22,3302,"5(A,C,E,G)",62
Junior HR,7,3300,1(A-H),62
1170,5,3301,6-7(E),62
746,1,3301,"6-7(B,D,F,H)",62
982,52,3301,"11(B,D,F,H)",62
1061,1,3300,"2-3(B,D,F,H)",66
1170,1,3301,2-3(E),66
216,4,3300,"12-13(A,C,E,G)",66
408,3,3300,"8-9(A,C,E,G)",66
510,7,3300,"8-9(D,F,H)",66
606,6,3300,"4-5(B,D,F,H)",66
983,32,3302,"7(A,C,E,G)",66
106,2,3300,"4-5(A,C,E,G)",66
1171,1,3302,2-3(E),66
510L,7,3300,8-9(B),66
981,52,3301,"11(A,C,E,G)",66
330,8,3300,"10-11(B,D,F,H)",66
982,32,3301,"7(B,D,F,H)",66
984,32,3302,"7(B,D,F,H)",66
Junior HR,8,3300,1(A-H),66
106,9,3300,"6-7(B,D,F,H)",68
606,8,3300,"10-11(B,D,F,H)",68
982,41,3301,"8(B,D,F,H)",68
984,41,3302,"8(B,D,F,H)",68
719,5,3301,"4-5(B,D,F,H)",68
983,42,3302,"9(A,C,E,G)",68
1170,2,3301,2-3(F),68
1171,11,3302,12-13(C),68
252,2,3300,"10-11(A,C,E,G)",68
330,2,3300,"4-5(A,C,E,G)",68
412,2,3300,"6-7(A,C,E,G)",68
520,5,3300,"12-13(B,D,F,H)",68
718,6,3302,"2-3(A,C,E,G)",68
981,41,3301,"8(A,C,E,G)",68
Junior HR,9,3300,1(A-H),68
106,10,3300,"8-9(B,D,F,H)",72
1171,9,3302,10-11(E),72
216,2,3300,"4-5(A,C,E,G)",72
408,1,3300,"2-3(A,C,E,G)",72
510L,10,3300,6-7(E),72
606,6,3300,"4-5(B,D,F,H)",72
746,2,3302,"6-7(B,D,F,H)",72
982,51,3301,"10(B,D,F,H)",72
983,41,3302,"8(A,C,E,G)",72
1170,11,3301,12-13(C),72
330,9,3300,"12-13(B,D,F,H)",72
510,10,3300,"6-7(A,C,G)",72
719,3,3301,"10-11(A,C,E,G)",72
981,41,3301,"8(A,C,E,G)",72
984,51,3302,"10(B,D,F,H)",72
Junior HR,10,3300,1(A-H),72
1199,97,3300,"2-3(B,D,F,H)",72
530,1,3300,"2-4(E,G)",73
530L,1,3300,"2-4(A,C)",73
981,31,3301,"6(A,C,E,G)",73
106,11,3300,"10-11(B,D,F,H)",73
1171,12,3302,12-13(D),73
254,2,3300,"10-11(A,C,E,G)",73
486,1,3300,"2-3(B,D,F,H)",73
983,31,3302,"6(A,C,E,G)",73
984,32,3302,"7(B,D,F,H)",73
1170,12,3301,12-13(D),73
335,4,3300,"4-5(B,D,F,H)",73
520,3,3300,"8-9(B,D,F,H)",73
606,3,3300,"8-9(A,C,E,G)",73
982,31,3301,"6(B,D,F,H)",73
Junior HR,1,3300,1(A-H),73
1170,3,3301,4-5(C),75
226,1,3300,"2-3(A,C,E,G)",75
335,5,3300,"12-13(B,D,F,H)",75
411,4,3300,"6-7(A,C,E,G)",75
608,4,3300,"2-3(B,D,F,H)",75
719,4,3302,"10-11(A,C,E,G)",75
982,31,3301,"6(B,D,F,H)",75
984,32,3302,"7(B,D,F,H)",75
106,4,3300,"8-9(A,C,E,G)",75
1171,10,3302,10-11(F),75
380,7,3301,"10-11(B,D,F,H)",75
520,3,3300,"8-9(B,D,F,H)",75
981,52,3301,"11(A,C,E,G)",75
983,22,3302,"5(A,C,E,G)",75
Junior HR,2,3300,1(A-H),75
927,1,3300,"14(B,D,F,H)",75
106,7,3300,"2-3(B,D,F,H)",76
1171,11,3302,12-13(C),76
216,5,3300,"4-5(B,D,F,H)",76
330,1,3300,"2-3(A,C,E,G)",76
422,1,3300,"10-11(B,D,F,H)",76
510L,3,3300,4-5(A),76
558,3,3301,"8-9(B,D,F,H)",76
981,41,3301,"8(A,C,E,G)",76
983,42,3302,"9(A,C,E,G)",76
984,41,3302,"8(B,D,F,H)",76
1170,11,3301,12-13(C),76
1179,36,3300,"12(A-B,D-G) 13(A-B,E-F)",76
376,2,3302,"6-7(B,D,F,H)",76
510,3,3300,"4-5(C,E,G)",76
606,4,3300,"10-11(A,C,E,G)",76
982,32,3301,"7(B,D,F,H)",76
Junior HR,3,3300,1(A-H),76
927,1,3300,"14(B,D,F,H)",76
1170,10,3301,10-11(F),81
216,3,3300,"10-11(A,C,E,G)",81
330,9,3300,"12-13(B,D,F,H)",81
408,7,3300,"8-9(B,D,F,H)",81
510L,4,3300,12-13(C),81
606,6,3300,"4-5(B,D,F,H)",81
981,22,3301,"5(A,C,E,G)",81
983,42,3302,"9(A,C,E,G)",81
984,52,3302,"11(B,D,F,H)",81
106,3,3300,"6-7(A,C,E,G)",81
1171,6,3302,6-7(F),81
380,2,3302,"4-5(A,C,E,G)",81
510,4,3300,"12-13(A,E,G)",81
719,9,3301,"8-9(A,C,E,G)",81
982,31,3301,"6(B,D,F,H)",81
Junior HR,4,3300,1(A-H),81
1170,3,3301,4-5(C),86
216,6,3300,"6-7(B,D,F,H)",86
330,7,3300,"4-5(B,D,F,H)",86
106,1,3300,"2-3(A,C,E,G)",86
1171,9,3302,10-11(E),86
408,4,3300,"12-13(A,C,E,G)",86
608,7,3300,"12-13(B,D,F,H)",86
714,2,3302,"8-9(A,C,E,G)",86
719,9,3301,"8-9(A,C,E,G)",86
981,32,3301,"7(A,C,E,G)",86
983,31,3302,"6(A,C,E,G)",86
520,4,3300,"10-11(B,D,F,H)",86
982,41,3301,"8(B,D,F,H)",86
984,42,3302,"9(B,D,F,H)",86
Junior HR,5,3300,1(A-H),86
983,41,3302,"8(A,C,E,G)",88
216,6,3300,"6-7(B,D,F,H)",88
981,32,3301,"7(A,C,E,G)",88
1171,2,3302,2-3(F),88
350,1,3301,"8-9(A,C,E,G)",88
984,41,3302,"8(B,D,F,H)",88
1050,2,3302,"6-7(C,G)",88
1170,2,3301,2-3(F),88
330,7,3300,"4-5(B,D,F,H)",88
408,4,3300,"12-13(A,C,E,G)",88
606,2,3300,"4-5(A,C,E,G)",88
982,42,3301,"9(B,D,F,H)",88
106,11,3300,"10-11(B,D,F,H)",88
510,1,3300,"10-11(A,C,E)",88
510L,1,3300,10-11(G),88
Junior HR,6,3300,1(A-H),88
1199,98,3300,"2-3(A,C,E,G)",88
927,1,3300,"14(B,D,F,H)",88
1170,6,3301,6-7(F),89
216,5,3300,"4-5(B,D,F,H)",89
225,3,3300,"10-11(A,C,E,G)",89
408,7,3300,"8-9(B,D,F,H)",89
606,2,3300,"4-5(A,C,E,G)",89
714,1,3301,"8-9(A,C,E,G)",89
981,32,3301,"7(A,C,E,G)",89
983,41,3302,"8(A,C,E,G)",89
984,52,3302,"11(B,D,F,H)",89
106,14,3300,"12-13(B,D,F,H)",89
1171,6,3302,6-7(F),89
330,6,3300,"12-13(A,C,E,G)",89
514,1,3300,"2-3(A,C,E,G)",89
718,4,3302,"2-3(B,D,F,H)",89
982,51,3301,"10(B,D,F,H)",89
Junior HR,7,3300,1(A-H),89
927,1,3300,"14(B,D,F,H)",89
106,5,3300,"12-13(A,C,E,G)",91
1171,2,3302,2-3(F),91
221,1,3300,"4-5(A,C,E,G)",91
408,1,3300,"2-3(A,C,E,G)",91
606,9,3300,"12-13(B,D,F,H)",91
719,5,3301,"4-5(B,D,F,H)",91
860,3,3301,"8-9(A,C,E,G)",91
981,52,3301,"11(A,C,E,G)",91
983,41,3302,"8(A,C,E,G)",91
335,6,3300,"10-11(B,D,F,H)",91
718,10,3302,"6-7(A,C,E,G)",91
854,1,3300,"14(A,C,E,G)",91
510L,11,3300,6-7(F),91
510,11,3300,"6-7(B,D,H)",91
982,42,3301,"9(B,D,F,H)",91
984,41,3302,"8(B,D,F,H)",91
1170,2,3301,2-3(F),91
Junior HR,8,3300,1(A-H),91
927,1,3300,"14(B,D,F,H)",91
510,11,3300,"6-7(B,D,H)",93
106,10,3300,"8-9(B,D,F,H)",93
510L,11,3300,6-7(F),93
1170,9,3301,10-11(E),93
216,4,3300,"12-13(A,C,E,G)",93
408,3,3300,"8-9(A,C,E,G)",93
606,1,3300,"2-3(A,C,E,G)",93
865,1,3302,"6-7(A,C,E,G)",93
982,52,3301,"11(B,D,F,H)",93
983,52,3302,"11(A,C,E,G)",93
330,9,3300,"12-13(B,D,F,H)",93
718,3,3301,"2-3(B,D,F,H)",93
981,31,3301,"6(A,C,E,G)",93
984,52,3302,"11(B,D,F,H)",93
1171,2,3302,2-3(F),93
Junior HR,9,3300,1(A-H),93
106,5,3300,"12-13(A,C,E,G)",97
1170,2,3301,2-3(F),97
252,4,3300,"10-11(B,D,F,H)",97
330,1,3300,"2-3(A,C,E,G)",97
520,3,3300,"8-9(B,D,F,H)",97
719,3,3301,"10-11(A,C,E,G)",97
981,31,3301,"6(A,C,E,G)",97
983,32,3302,"7(A,C,E,G)",97
1093,2,3302,"4-5(A,C,E,G)",97
1171,9,3302,10-11(E),97
408,3,3300,"8-9(A,C,E,G)",97
606,6,3300,"4-5(B,D,F,H)",97
982,32,3301,"7(B,D,F,H)",97
984,32,3302,"7(B,D,F,H)",97
Junior HR,10,3300,1(A-H),97
106,12,3300,"12-13(B,D,F,H)",98
1171,8,3302,8-9(D),98
216,6,3300,"6-7(B,D,F,H)",98
408,4,3300,"12-13(A,C,E,G)",98
510L,10,3300,6-7(E),98
557,2,3302,"4-5(B,D,F,H)",98
606,1,3300,"2-3(A,C,E,G)",98
981,42,3301,"9(A,C,E,G)",98
982,51,3301,"10(B,D,F,H)",98
984,51,3302,"10(B,D,F,H)",98
1170,3,3301,4-5(C),98
330,5,3300,"2-3(B,D,F,H)",98
510,10,3300,"6-7(A,C,G)",98
558,3,3301,"8-9(B,D,F,H)",98
850,1,3300,"10-11(A,C,E,G)",98
983,41,3302,"8(A,C,E,G)",98
Junior HR,1,3300,1(A-H),98
806,2,3300,"14(B,D,F,H)",98
106,5,3300,"12-13(A,C,E,G)",106
1171,5,3302,6-7(E),106
216,1,3300,"2-3(A,C,E,G)",106
408,8,3300,"12-13(B,D,F,H)",106
510L,11,3300,6-7(F),106
606,4,3300,"10-11(A,C,E,G)",106
719,8,3302,"8-9(B,D,F,H)",106
981,41,3301,"8(A,C,E,G)",106
982,51,3301,"10(B,D,F,H)",106
984,52,3302,"11(B,D,F,H)",106
1170,8,3301,8-9(D),106
330,7,3300,"4-5(B,D,F,H)",106
510,11,3300,"6-7(B,D,H)",106
718,2,3302,"4-5(A,C,E,G)",106
860,1,3301,"6-7(A,C,E,G)",106
983,41,3302,"8(A,C,E,G)",106
Junior HR,2,3300,1(A-H),106
927,1,3300,"14(B,D,F,H)",106
1030,2,3301,"4-5(B,D,F,H)",113
106,14,3300,"12-13(B,D,F,H)",113
408,3,3300,"8-9(A,C,E,G)",113
606,7,3300,"8-9(B,D,F,H)",113
1170,5,3301,6-7(E),113
330,1,3300,"2-3(A,C,E,G)",113
540,1,3300,"4-5(A,C,E,G)",113
981,52,3301,"11(A,C,E,G)",113
216,6,3300,"6-7(B,D,F,H)",113
982,52,3301,"11(B,D,F,H)",113
Junior HR,4,3300,1(A-H),113
1050,2,3302,"6-7(C,G)",113
1171,5,3302,6-7(E),113
719,6,3302,"4-5(B,D,F,H)",113
983,51,3302,"10(A,C,E,G)",113
984,52,3302,"11(B,D,F,H)",113
1093,2,3302,"4-5(A,C,E,G)",116
1171,9,3302,10-11(E),116
252,1,3300,"6-7(A,C,E,G)",116
350,1,3301,"8-9(A,C,E,G)",116
106,13,3300,"6-7(B,D,F,H)",116
1170,9,3301,10-11(E),116
335,6,3300,"10-11(B,D,F,H)",116
411,1,3300,"12-13(A,C,E,G)",116
512,1,3300,"2-4(F,H)",116
512L,1,3300,"2-4(B,D)",116
608,7,3300,"12-13(B,D,F,H)",116
981,22,3301,"5(A,C,E,G)",116
982,22,3301,"5(B,D,F,H)",116
983,42,3302,"9(A,C,E,G)",116
984,22,3302,"5(B,D,F,H)",116
Junior HR,5,3300,1(A-H),116
520,2,3300,"2-3(A,C,E,G)",116
106,11,3300,"10-11(B,D,F,H)",117
1171,12,3302,12-13(D),117
221,1,3300,"4-5(A,C,E,G)",117
426,1,3300,"8-9(B,D,F,H)",117
510L,5,3300,2-3(A),117
606,4,3300,"10-11(A,C,E,G)",117
983,32,3302,"7(A,C,E,G)",117
984,22,3302,"5(B,D,F,H)",117
1024,1,3301,"12-13(B,D,F,H)",117
1170,11,3301,12-13(C),117
510,5,3300,"2-3(C,E,G)",117
891,1,3302,"6-7(B,D,F,H)",117
982,31,3301,"6(B,D,F,H)",117
981,42,3301,"9(A,C,E,G)",117
860,1,3301,"6-7(A,C,E,G)",117
330,5,3300,"2-3(B,D,F,H)",117
Junior HR,6,3300,1(A-H),117
106,13,3300,"6-7(B,D,F,H)",123
1179,35,3300,"10(A,C,E,H) 11(A,C-E,G-H)",123
330,1,3300,"2-3(A,C,E,G)",123
380,10,3302,"8-9(A,C,E,G)",123
540,1,3300,"4-5(A,C,E,G)",123
880,5,3301,"12-13(B,D,F,H)",123
981,41,3301,"8(A,C,E,G)",123
983,31,3302,"6(A,C,E,G)",123
1171,10,3302,10-11(F),123
216,4,3300,"12-13(A,C,E,G)",123
404,5,3300,"2-3(B,D,F,H)",123
606,7,3300,"8-9(B,D,F,H)",123
982,22,3301,"5(B,D,F,H)",123
984,22,3302,"5(B,D,F,H)",123
Junior HR,7,3300,1(A-H),123
1170,5,3301,6-7(E),123
927,1,3300,"14(B,D,F,H)",123
1050,4,3302,"8-9(D,H)",124
106,6,3300,"12-13(A,C,E,G)",124
1171,7,3302,8-9(C),124
330,9,3300,"12-13(B,D,F,H)",124
718,5,3301,"2-3(A,C,E,G)",124
982,31,3301,"6(B,D,F,H)",124
983,52,3302,"11(A,C,E,G)",124
1170,9,3301,10-11(E),124
252,3,3300,"4-5(B,D,F,H)",124
412,2,3300,"6-7(A,C,E,G)",124
606,2,3300,"4-5(A,C,E,G)",124
981,41,3301,"8(A,C,E,G)",124
984,31,3302,"6(B,D,F,H)",124
Junior HR,8,3300,1(A-H),124
511,4,3300,"10-11(B,D,H)",124
511L,4,3300,10-11(F),124
106,9,3300,"6-7(B,D,F,H)",126
1171,2,3302,2-3(F),126
226,2,3300,"12-13(A,C,E,G)",126
408,7,3300,"8-9(B,D,F,H)",126
714,2,3302,"8-9(A,C,E,G)",126
981,31,3301,"6(A,C,E,G)",126
983,32,3302,"7(A,C,E,G)",126
1170,2,3301,2-3(F),126
335,5,3300,"12-13(B,D,F,H)",126
520,2,3300,"2-3(A,C,E,G)",126
719,9,3301,"8-9(A,C,E,G)",126
608,5,3300,"4-5(B,D,F,H)",126
982,52,3301,"11(B,D,F,H)",126
984,52,3302,"11(B,D,F,H)",126
Junior HR,10,3300,1(A-H),126
1170,9,3301,10-11(E),129
226,4,3300,"10-11(B,D,F,H)",129
335,2,3300,"8-9(A,C,E,G)",129
514,1,3300,"2-3(A,C,E,G)",129
608,7,3300,"12-13(B,D,F,H)",129
719,6,3302,"4-5(B,D,F,H)",129
982,42,3301,"9(B,D,F,H)",129
984,42,3302,"9(B,D,F,H)",129
106,13,3300,"6-7(B,D,F,H)",129
1171,3,3302,4-5(C),129
411,1,3300,"12-13(A,C,E,G)",129
527,1,3300,"6-7(A,C,E,G)",129
981,22,3301,"5(A,C,E,G)",129
983,51,3302,"10(A,C,E,G)",129
Junior HR,10,3300,1(A-H),129
982,42,3301,"9(B,D,F,H)",130
984,42,3302,"9(B,D,F,H)",130
718,10,3302,"6-7(A,C,E,G)",130
719,3,3301,"10-11(A,C,E,G)",130
981,42,3301,"9(A,C,E,G)",130
983,42,3302,"9(A,C,E,G)",130
1170,5,3301,6-7(E),130
1171,9,3302,10-11(E),130
106,13,3300,"6-7(B,D,F,H)",130
330,1,3300,"2-3(A,C,E,G)",130
408,4,3300,"12-13(A,C,E,G)",130
511L,2,3300,4-5(H),130
216,2,3300,"4-5(A,C,E,G)",130
511,2,3300,"4-5(B,D,F)",130
608,6,3300,"10-11(B,D,F,H)",130
Junior HR,1,3300,1(A-H),130
927,1,3300,"14(B,D,F,H)",130
106,14,3300,"12-13(B,D,F,H)",134
1170,8,3301,8-9(D),134
1171,3,3302,4-5(C),134
335,6,3300,"10-11(B,D,F,H)",134
510,5,3300,"2-3(C,E,G)",134
510L,5,3300,2-3(A),134
981,32,3301,"7(A,C,E,G)",134
982,31,3301,"6(B,D,F,H)",134
984,42,3302,"9(B,D,F,H)",134
1061,1,3300,"2-3(B,D,F,H)",134
216,5,3300,"4-5(B,D,F,H)",134
411,1,3300,"12-13(A,C,E,G)",134
606,3,3300,"8-9(A,C,E,G)",134
885,1,3301,"4-5(A,C,E,G)",134
983,32,3302,"7(A,C,E,G)",134
Junior HR,5,3300,1(A-H),134
719,4,3302,"10-11(A,C,E,G)",134
1061,1,3300,"2-3(B,D,F,H)",135
216,7,3300,"10-11(B,D,F,H)",135
106,3,3300,"6-7(A,C,E,G)",135
335,2,3300,"8-9(A,C,E,G)",135
411,1,3300,"12-13(A,C,E,G)",135
885,2,3302,"4-5(B,D,F,H)",135
981,22,3301,"5(A,C,E,G)",135
982,22,3301,"5(B,D,F,H)",135
983,22,3302,"5(A,C,E,G)",135
606,9,3300,"12-13(B,D,F,H)",135
510,11,3300,"6-7(B,D,H)",135
510L,11,3300,6-7(F),135
984,41,3302,"8(B,D,F,H)",135
1170,8,3301,8-9(D),135
1171,1,3302,2-3(E),135
Junior HR,5,3300,1(A-H),135
106,13,3300,"6-7(B,D,F,H)",136
1170,12,3301,12-13(D),136
216,4,3300,"12-13(A,C,E,G)",136
411,3,3300,"8-9(B,D,F,H)",136
608,1,3300,"2-3(A,C,E,G)",136
885,2,3302,"4-5(B,D,F,H)",136
983,32,3302,"7(A,C,E,G)",136
1171,12,3302,12-13(D),136
719,5,3301,"4-5(B,D,F,H)",136
982,52,3301,"11(B,D,F,H)",136
984,52,3302,"11(B,D,F,H)",136
511,1,3300,"4-5(A,C,E)",136
511L,1,3300,4-5(G),136
981,32,3301,"7(A,C,E,G)",136
Junior HR,5,3300,1(A-H),136
330,4,3300,"8-9(A,C,E,G)",136
1031,1,3302,"4-5(A,C,E,G)",139
1170,1,3301,2-3(E),139
216,7,3300,"10-11(B,D,F,H)",139
330,3,3300,"6-7(B,D,F,H)",139
510,1,3300,"10-11(A,C,E)",139
557,2,3302,"4-5(B,D,F,H)",139
606,3,3300,"8-9(A,C,E,G)",139
981,22,3301,"5(A,C,E,G)",139
983,32,3302,"7(A,C,E,G)",139
984,42,3302,"9(B,D,F,H)",139
106,14,3300,"12-13(B,D,F,H)",139
1171,2,3302,2-3(F),139
408,4,3300,"12-13(A,C,E,G)",139
510L,1,3300,10-11(G),139
982,41,3301,"8(B,D,F,H)",139
Junior HR,6,3300,1(A-H),139
880,4,3301,"4-5(B,D,F,H)",139
1170,9,3301,10-11(E),141
226,1,3300,"2-3(A,C,E,G)",141
408,4,3300,"12-13(A,C,E,G)",141
545,2,3300,"2-3(B,D,F,H)",141
719,7,3301,"8-9(B,D,F,H)",141
922,4,3302,"10-11(A,C,E,G)",141
982,22,3301,"5(B,D,F,H)",141
984,22,3302,"5(B,D,F,H)",141
106,13,3300,"6-7(B,D,F,H)",141
1171,8,3302,8-9(D),141
330,4,3300,"8-9(A,C,E,G)",141
608,6,3300,"10-11(B,D,F,H)",141
981,32,3301,"7(A,C,E,G)",141
983,31,3302,"6(A,C,E,G)",141
Junior HR,7,3300,1(A-H),141
106,7,3300,"2-3(B,D,F,H)",146
1171,11,3302,12-13(C),146
1179,36,3300,"12(A-B,D-G) 13(A-B,E-F)",146
330,1,3300,"2-3(A,C,E,G)",146
510,3,3300,"4-5(C,E,G)",146
510L,3,3300,4-5(A),146
982,31,3301,"6(B,D,F,H)",146
983,41,3302,"8(A,C,E,G)",146
1050,2,3302,"6-7(C,G)",146
1170,11,3301,12-13(C),146
216,5,3300,"4-5(B,D,F,H)",146
426,1,3300,"8-9(B,D,F,H)",146
606,4,3300,"10-11(A,C,E,G)",146
981,42,3301,"9(A,C,E,G)",146
984,32,3302,"7(B,D,F,H)",146
Junior HR,8,3300,1(A-H),146
922,5,3301,"10-11(B,D,F,H)",146
1170,6,3301,6-7(F),151
1171,9,3302,10-11(E),151
330,7,3300,"4-5(B,D,F,H)",151
606,3,3300,"8-9(A,C,E,G)",151
718,9,3301,"6-7(A,C,E,G)",151
981,52,3301,"11(A,C,E,G)",151
982,41,3301,"8(B,D,F,H)",151
983,31,3302,"6(A,C,E,G)",151
984,42,3302,"9(B,D,F,H)",151
510,4,3300,"12-13(A,E,G)",151
510L,4,3300,12-13(C),151
106,11,3300,"10-11(B,D,F,H)",151
216,8,3300,"12-13(B,D,F,H)",151
376,2,3302,"6-7(B,D,F,H)",151
Junior HR,9,3300,1(A-H),151
495,1,3300,"2-3(A,C,E,G)",151
983,32,3302,"7(A,C,E,G)",152
1170,1,3301,2-3(E),152
1171,1,3302,2-3(E),152
412,4,3300,"8-9(B,D,F,H)",152
608,7,3300,"12-13(B,D,F,H)",152
981,32,3301,"7(A,C,E,G)",152
106,9,3300,"6-7(B,D,F,H)",152
225,4,3300,"12-13(A,C,E,G)",152
335,3,3300,"10-11(A,C,E,G)",152
716,3,3301,"4-6(A,C,E,G)",152
982,22,3301,"5(B,D,F,H)",152
984,22,3302,"5(B,D,F,H)",152
717,3,3302,"4-6(A,C,E,G)",152
545,2,3300,"2-3(B,D,F,H)",152
Junior HR,10,3300,1(A-H),152
1092,2,3301,"6-7(A,C,E,G)",153
216,6,3300,"6-7(B,D,F,H)",153
330,5,3300,"2-3(B,D,F,H)",153
981,22,3301,"5(A,C,E,G)",153
983,22,3302,"5(A,C,E,G)",153
1093,1,3302,"10-11(A,C,E,G)",153
1171,8,3302,8-9(D),153
493,1,3300,"10-11(B,D,F,H)",153
606,3,3300,"8-9(A,C,E,G)",153
982,41,3301,"8(B,D,F,H)",153
984,22,3302,"5(B,D,F,H)",153
Junior HR,1,3300,1(A-H),153
514,1,3300,"2-3(A,C,E,G)",153
106,14,3300,"12-13(B,D,F,H)",153
880,3,3301,"10-11(A,C,E,G)",153
1170,11,3301,12-13(C),153
982,32,3301,"7(B,D,F,H)",155
380,13,3301,"2-3(A,C,E,G)",155
106,8,3300,"4-5(B,D,F,H)",155
1171,6,3302,6-7(F),155
330,6,3300,"12-13(A,C,E,G)",155
540,3,3300,"8-9(A,C,E,G)",155
714,3,3301,"8-9(B,D,F,H)",155
718,4,3302,"2-3(B,D,F,H)",155
984,41,3302,"8(B,D,F,H)",155
216,8,3300,"12-13(B,D,F,H)",155
485,1,3300,"6-7(A,C,E,G)",155
981,52,3301,"11(A,C,E,G)",155
983,52,3302,"11(A,C,E,G)",155
1170,2,3301,2-3(F),155
606,8,3300,"10-11(B,D,F,H)",155
Junior HR,2,3300,1(A-H),155
106,9,3300,"6-7(B,D,F,H)",156
1171,12,3302,12-13(D),156
330,5,3300,"2-3(B,D,F,H)",156
408,1,3300,"2-3(A,C,E,G)",156
606,3,3300,"8-9(A,C,E,G)",156
221,1,3300,"4-5(A,C,E,G)",156
540,2,3300,"4-5(B,D,F,H)",156
718,8,3302,"10-11(B,D,F,H)",156
984,41,3302,"8(B,D,F,H)",156
1170,12,3301,12-13(D),156
719,3,3301,"10-11(A,C,E,G)",156
981,32,3301,"7(A,C,E,G)",156
983,32,3302,"7(A,C,E,G)",156
Junior HR,3,3300,1(A-H),156
927,1,3300,"14(B,D,F,H)",156
1199,87,3300,"10-11(B,D,F,H)",156
982,41,3301,"8(B,D,F,H)",156
718,2,3302,"4-5(A,C,E,G)",159
983,32,3302,"7(A,C,E,G)",159
106,13,3300,"6-7(B,D,F,H)",159
1171,1,3302,2-3(E),159
216,7,3300,"10-11(B,D,F,H)",159
408,3,3300,"8-9(A,C,E,G)",159
